title,genre,premiere,runtime,imdb_score,language,year
Spectral,Science fiction/Action,12/9/2016,108,6.3,English,2016
The Babysitter,Teen comedy horror,10/13/2017,85,6.3,English,2017
The Discovery,Science fiction/Drama,3/31/2017,102,6.3,English,2017
The Forest of Love,Drama,10/11/2019,151,6.3,Japanese,2019
The Laundromat,Comedy-drama,10/18/2019,98,6.3,English,2019
The Legend of Cocaine Island,Documentary,3/29/2019,87,6.3,English,2019
The Outsider,Crime drama,3/9/2018,120,6.3,English/Japanese,2018
Time to Hunt,Thriller,4/23/2020,134,6.3,Korean,2020
To All the Boys: Always and Forever,Romantic comedy,2/12/2021,109,6.3,English,2021
Travis Scott: Look Mom I Can Fly,Documentary,8/28/2019,85,6.3,English,2019
Uncorked,Drama,3/27/2020,103,6.3,English,2020
Anelka: Misunderstood,Documentary,8/5/2020,94,6.4,French,2020
"Ariana Grande: Excuse Me, I Love You",Concert Film,12/21/2020,97,6.4,English,2020
ARQ,Science fiction/Thriller,9/16/2016,88,6.4,English,2016
Birders,Documentary,9/25/2019,37,6.4,English/Spanish,2019
Como CaÃ­do del Cielo,Musical comedy,12/24/2019,112,6.4,Spanish,2019
First Match,Sports-drama,3/30/2018,102,6.4,English,2018
Fractured,Thriller,10/11/2019,100,6.4,English,2019
Irreplaceable You,Drama,2/16/2018,96,6.4,English,2018
Isi & Ossi,Romantic comedy,2/14/2020,113,6.4,German,2020
John Was Trying to Contact Aliens,Documentary,8/20/2020,16,6.4,English,2020
Layla Majnun,Romantic drama,2/11/2021,119,6.4,Indonesian,2021
Murder to Mercy: The Cyntoia Brown Story,Documentary,4/29/2020,97,6.4,English,2020
My Own Man,Documentary,12/13/2014,81,6.4,English,2014
Nappily Ever After,Comedy-drama,9/21/2018,98,6.4,English,2018
Over the Moon,Animation/Musical/Adventure,10/23/2020,95,6.4,English,2020
Street Flow,Drama,10/12/2019,96,6.4,French,2019
Strong Island,Documentary,9/15/2017,107,6.4,English,2017
Sturgill Simpson Presents: Sound & Fury,Animation / Musicial,9/27/2019,41,6.4,English,2019
Take Your Pills,Documentary,3/16/2018,87,6.4,English,2018
The Heartbreak Club,Comedy-drama,1/14/2021,101,6.4,Indonesian,2021
The Mars Generation,Documentary,5/5/2017,97,6.4,English,2017
The Occupant,Thriller,3/25/2020,103,6.4,Spanish,2020
The Willoughbys,Animation/Comedy/Adventure,4/22/2020,90,6.4,English,2020
Triple Frontier,Action-thriller,3/13/2019,125,6.4,English,2019
Two Catalonias,Documentary,9/28/2018,116,6.4,Spanish/Catalan,2018
Walk. Ride. Rodeo.,Drama,3/8/2019,99,6.4,English,2019
Wheelman,Action thriller,10/20/2017,82,6.4,English,2017
When We First Met,Romantic comedy,2/9/2018,97,6.4,English,2018
A 3 Minute Hug,Documentary,10/28/2019,28,6.5,English/Spanish,2019
All the Bright Places,Romance,2/28/2020,108,6.5,English,2020
All Together Now,Drama,8/28/2020,93,6.5,English,2020
Altered Carbon: Resleeved,Anime/Science fiction,3/19/2020,74,6.5,Japanese,2020
Antoine Griezmann: The Making of a Legend,Documentary,3/21/2019,60,6.5,French,2019
Canvas ,Animation / Short,12/11/2020,9,6.5,English,2020
Chadwick Boseman: Portrait of an Artist,Documentary,4/17/2021,21,6.5,English,2021
Chopsticks,Comedy,5/31/2019,100,6.5,Hindi,2019
Da 5 Bloods,War drama,6/12/2020,155,6.5,English,2020
Dolly Parton: A MusiCares Tribute,Documentary,4/7/2021,55,6.5,English,2021
